2024-01-24 13:29:39,284 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,291 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,313 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | WrapperSimpleAppMain
2024-01-24 13:29:39,313 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-01-24 13:29:39,515 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,516 | INFO  | PListStore:[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2024-01-24 13:29:39,516 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,516 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,660 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7359-1706074179523-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,688 | INFO  | Listening for connections at: tcp://neko:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:39,690 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:39,694 | INFO  | Listening for connections at: amqp://neko:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:39,694 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:39,698 | INFO  | Listening for connections at: stomp://neko:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:39,700 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:39,704 | INFO  | Listening for connections at: mqtt://neko:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:39,704 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:39,707 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2024-01-24 13:29:39,747 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2024-01-24 13:29:39,788 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@584301b2{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2024-01-24 13:29:39,845 | INFO  | Listening for connections at ws://neko:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2024-01-24 13:29:39,845 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:39,845 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7359-1706074179523-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,846 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:39,851 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb only has 69225 mb of usable space. - resetting to maximum available disk space: 69225 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:40,298 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2024-01-24 13:29:40,299 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2024-01-24 13:29:59,609 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:59,615 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:59,639 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | WrapperSimpleAppMain
2024-01-24 13:29:59,639 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-01-24 13:29:59,676 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2024-01-24 13:29:59,680 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-01-24 13:29:59,682 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2024-01-24 13:29:59,817 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:59,817 | INFO  | PListStore:[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2024-01-24 13:29:59,817 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:59,817 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:59,962 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7400-1706074199826-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:29:59,987 | INFO  | Listening for connections at: tcp://neko:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:59,988 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:59,991 | INFO  | Listening for connections at: amqp://neko:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:59,991 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:59,993 | INFO  | Listening for connections at: stomp://neko:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:59,994 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:29:59,997 | INFO  | Listening for connections at: mqtt://neko:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 13:29:59,998 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:30:00,001 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2024-01-24 13:30:00,029 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2024-01-24 13:30:00,063 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@357d19ec{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2024-01-24 13:30:00,109 | INFO  | Listening for connections at ws://neko:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2024-01-24 13:30:00,109 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-01-24 13:30:00,109 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7400-1706074199826-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:30:00,109 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:30:00,115 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb only has 69225 mb of usable space. - resetting to maximum available disk space: 69225 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 13:30:00,541 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2024-01-24 13:30:00,541 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2024-01-24 15:10:16,622 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7400-1706074199826-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-24
2024-01-24 15:10:16,628 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2024-01-24 15:10:16,629 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2024-01-24 15:10:16,630 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2024-01-24 15:10:16,630 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2024-01-24 15:10:16,650 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2024-01-24 15:10:16,662 | INFO  | PListStore:[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-24
2024-01-24 15:10:16,663 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2024-01-24 15:10:16,663 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2024-01-24 15:10:16,663 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2024-01-24 15:10:16,678 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7400-1706074199826-0:1) uptime 1 hour 40 minutes | org.apache.activemq.broker.BrokerService | Thread-24
2024-01-24 15:10:16,678 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7400-1706074199826-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-24
2024-01-24 15:11:14,256 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 15:11:14,265 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 15:11:14,284 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | WrapperSimpleAppMain
2024-01-24 15:11:14,285 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-01-24 15:11:14,334 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-01-24 15:11:14,497 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 15:11:14,497 | INFO  | PListStore:[D:\Codes\Java\sec\ActiveMQ\apache-activemq-5.18.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2024-01-24 15:11:14,497 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 15:11:14,497 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 15:11:14,644 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:neko-7500-1706080274508-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-01-24 15:11:14,671 | INFO  | Listening for connections at: tcp://neko:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-01-24 15:11:14,671 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
